id;repeticion;neuronas;conexiones;densidad_conexiones;sparse;precision;backend;mostrar_progreso;medir_rendimiento;tiempo;cpu_media;cpu_maxima;ram_media;ram_maxima;gpu_media;gpu_maxima;vram_media;vram_maxima
6;8;1;0;0;False;32;cupy;True;True;1.2226400000508875;98.75;107.0;432.315625;432.32421875;11.0;11;303.0546875;303.0546875
6;9;1;0;0;False;32;cupy;True;True;1.2166905000340194;99.30000000000001;106.9;431.88359375;431.890625;8.8;11;303.0546875;303.0546875
6;10;1;0;0;False;32;cupy;True;True;1.2111163998488337;98.2;107.7;432.5125;432.51953125;10.2;11;303.0546875;303.0546875
7;1;1;0;0;False;64;numpy;False;False;0.02355480007827282;;;;;;;;
7;2;1;0;0;False;64;numpy;False;False;0.022727200062945485;;;;;;;;
7;3;1;0;0;False;64;numpy;False;False;0.023052100092172623;;;;;;;;
7;4;1;0;0;False;64;numpy;False;False;0.023122400045394897;;;;;;;;
7;5;1;0;0;False;64;numpy;False;False;0.02285970002412796;;;;;;;;
7;6;1;0;0;False;64;numpy;False;False;0.02320960001088679;;;;;;;;
7;7;1;0;0;False;64;numpy;False;False;0.023280099965631962;;;;;;;;
7;8;1;0;0;False;64;numpy;False;False;0.022882299963384867;;;;;;;;
7;9;1;0;0;False;64;numpy;False;False;0.02257189992815256;;;;;;;;
7;10;1;0;0;False;64;numpy;False;False;0.022675800137221813;;;;;;;;
8;1;1;0;0;False;64;numpy;True;True;0.028258899925276637;113.80999999999999;573.8;340.658203125;340.66015625;;;;
8;2;1;0;0;False;64;numpy;True;True;0.028793799923732877;116.7;591.1;340.9125;340.9140625;;;;
8;3;1;0;0;False;64;numpy;True;True;0.02829389995895326;112.35999999999999;567.3;340.712890625;340.71484375;;;;
8;4;1;0;0;False;64;numpy;True;True;0.028294800082221627;111.35999999999999;562.3;340.712890625;340.71484375;;;;
8;5;1;0;0;False;64;numpy;True;True;0.02912959991954267;106.08;536.8;340.369140625;340.37109375;;;;
8;6;1;0;0;False;64;numpy;True;True;0.028889700071886182;52.160000000000004;521.6;340.36953125;340.375;;;;
8;7;1;0;0;False;64;numpy;True;True;0.028981100069358945;108.97;550.5;340.095703125;340.09765625;;;;
8;8;1;0;0;False;64;numpy;True;True;0.02846599998883903;102.9;536.0;340.58828125;340.58984375;;;;
8;9;1;0;0;False;64;numpy;True;True;0.035007899859920144;102.28999999999999;568.5;340.6109375;340.61328125;;;;
8;10;1;0;0;False;64;numpy;True;True;0.02831749990582466;117.34;591.2;340.34609375;340.34765625;;;;
9;1;1;0;0;False;64;cupy;False;False;1.1863841998856515;;;;;;;;
9;2;1;0;0;False;64;cupy;False;False;1.2040242000948638;;;;;;;;
9;3;1;0;0;False;64;cupy;False;False;1.1968191000632942;;;;;;;;
9;4;1;0;0;False;64;cupy;False;False;1.2105008999351412;;;;;;;;
9;5;1;0;0;False;64;cupy;False;False;1.1765244998969138;;;;;;;;
9;6;1;0;0;False;64;cupy;False;False;1.1899045000318438;;;;;;;;
9;7;1;0;0;False;64;cupy;False;False;1.1806745000649244;;;;;;;;
9;8;1;0;0;False;64;cupy;False;False;1.2034017001278698;;;;;;;;
9;9;1;0;0;False;64;cupy;False;False;1.1961795000825077;;;;;;;;
9;10;1;0;0;False;64;cupy;False;False;1.1747997999191284;;;;;;;;
10;1;1;0;0;False;64;cupy;True;True;1.2323068000841886;99.83;106.8;432.1765625;432.18359375;9.6;11;303.0546875;303.0546875
10;2;1;0;0;False;64;cupy;True;True;1.1994274000171572;99.32000000000002;109.1;432.109375;432.1171875;10.5;11;303.0546875;303.0546875
10;3;1;0;0;False;64;cupy;True;True;1.2037257999181747;98.48;108.1;431.91484375;431.921875;9.2;11;303.0546875;303.0546875
10;4;1;0;0;False;64;cupy;True;True;1.212878700112924;100.57;106.9;432.205078125;432.21484375;11.0;11;303.0546875;303.0546875
10;5;1;0;0;False;64;cupy;True;True;1.2137413998134434;97.16;107.3;432.318359375;432.328125;8.9;11;303.0546875;303.0546875
10;6;1;0;0;False;64;cupy;True;True;1.2529178999830037;98.25999999999999;107.6;432.32109375;432.328125;9.0;11;303.0546875;303.0546875
10;7;1;0;0;False;64;cupy;True;True;1.2031400999985635;99.1;107.7;432.066796875;432.07421875;10.2;11;303.0546875;303.0546875
10;8;1;0;0;False;64;cupy;True;True;1.2163406999316067;96.85;106.9;432.3796875;432.38671875;10.2;11;303.0546875;303.0546875
10;9;1;0;0;False;64;cupy;True;True;1.1956535000354052;98.19;108.2;432.285546875;432.29296875;10.1;11;303.0546875;303.0546875
10;10;1;0;0;False;64;cupy;True;True;1.2286266000010073;99.52999999999999;109.2;432.30625;432.31640625;9.9;11;303.0546875;303.0546875
11;1;1;0;0;True;32;numpy;False;False;0.02915790001861751;;;;;;;;
11;2;1;0;0;True;32;numpy;False;False;0.027568200137466192;;;;;;;;
11;3;1;0;0;True;32;numpy;False;False;0.027875799918547273;;;;;;;;
11;4;1;0;0;True;32;numpy;False;False;0.02852230006828904;;;;;;;;
11;5;1;0;0;True;32;numpy;False;False;0.02857409999705851;;;;;;;;
11;6;1;0;0;True;32;numpy;False;False;0.027779500000178814;;;;;;;;
11;7;1;0;0;True;32;numpy;False;False;0.027735400013625622;;;;;;;;
11;8;1;0;0;True;32;numpy;False;False;0.02773400000296533;;;;;;;;
11;9;1;0;0;True;32;numpy;False;False;0.027990999864414334;;;;;;;;
11;10;1;0;0;True;32;numpy;False;False;0.02821999997831881;;;;;;;;
12;1;1;0;0;True;32;numpy;True;True;0.03356440016068518;88.94;464.7;340.712890625;340.71484375;;;;
12;2;1;0;0;True;32;numpy;True;True;0.03359080012887716;93.92999999999999;479.3;340.66953125;340.671875;;;;
12;3;1;0;0;True;32;numpy;True;True;0.03318710019811988;94.83;480.6;340.455078125;340.45703125;;;;
12;4;1;0;0;True;32;numpy;True;True;0.03310210001654923;95.32000000000001;478.4;340.513671875;340.515625;;;;
12;5;1;0;0;True;32;numpy;True;True;0.033299800008535385;95.97999999999999;500.5;340.52578125;340.53125;;;;
12;6;1;0;0;True;32;numpy;True;True;0.032980899792164564;97.87;502.9;340.632421875;340.63671875;;;;
12;7;1;0;0;True;32;numpy;True;True;0.03419080004096031;88.49000000000001;457.6;340.60703125;340.609375;;;;
12;8;1;0;0;True;32;numpy;True;True;0.03386220009997487;96.7;484.4;340.4;340.40234375;;;;
12;9;1;0;0;True;32;numpy;True;True;0.033737100195139647;92.21;470.2;340.603515625;340.60546875;;;;
12;10;1;0;0;True;32;numpy;True;True;0.03288610000163317;99.47999999999999;501.7;340.466796875;340.46875;;;;
13;1;1;0;0;True;32;cupy;False;False;1.1475132000632584;;;;;;;;
13;2;1;0;0;True;32;cupy;False;False;1.1366329998709261;;;;;;;;
13;3;1;0;0;True;32;cupy;False;False;1.1494563999585807;;;;;;;;
13;4;1;0;0;True;32;cupy;False;False;1.1380845999810845;;;;;;;;
13;5;1;0;0;True;32;cupy;False;False;1.1508271000348032;;;;;;;;
13;6;1;0;0;True;32;cupy;False;False;1.1531597999855876;;;;;;;;
13;7;1;0;0;True;32;cupy;False;False;1.1452640001662076;;;;;;;;
13;8;1;0;0;True;32;cupy;False;False;1.1522426998708397;;;;;;;;
13;9;1;0;0;True;32;cupy;False;False;1.1607133999932557;;;;;;;;
13;10;1;0;0;True;32;cupy;False;False;1.1365147000178695;;;;;;;;
14;1;1;0;0;True;32;cupy;True;True;1.1842064999509603;100.05;109.3;394.50078125;394.5078125;9.1;11;301.0546875;301.0546875
14;2;1;0;0;True;32;cupy;True;True;1.1755653999280185;98.55999999999999;110.8;394.582421875;394.58984375;8.4;11;301.0546875;301.0546875
14;3;1;0;0;True;32;cupy;True;True;1.2167116000782698;99.04999999999998;109.9;394.661328125;394.66796875;8.6;11;301.0546875;301.0546875
14;4;1;0;0;True;32;cupy;True;True;1.1605465000029653;99.19;112.5;394.196484375;394.20703125;9.5;11;301.0546875;301.0546875
14;5;1;0;0;True;32;cupy;True;True;1.1751652997918427;98.24;109.9;394.523046875;394.53125;9.9;11;301.0546875;301.0546875
14;6;1;0;0;True;32;cupy;True;True;1.1785601999145001;98.46;109.7;393.973046875;393.98046875;9.4;11;301.0546875;301.0546875
14;7;1;0;0;True;32;cupy;True;True;1.1632203001063317;97.88;111.0;394.412109375;394.421875;9.5;11;301.0546875;301.0546875
14;8;1;0;0;True;32;cupy;True;True;1.1849173000082374;99.47999999999999;111.7;394.48359375;394.4921875;8.8;11;301.0546875;301.0546875
14;9;1;0;0;True;32;cupy;True;True;1.1747824000194669;99.03999999999999;111.1;393.996875;394.00390625;11.0;11;301.0546875;301.0546875
14;10;1;0;0;True;32;cupy;True;True;1.1888367999345064;97.22;111.1;394.43671875;394.4453125;9.0;11;301.0546875;301.0546875
15;1;1;0;0;True;64;numpy;False;False;0.02671350003220141;;;;;;;;
15;2;1;0;0;True;64;numpy;False;False;0.026205100119113922;;;;;;;;
15;3;1;0;0;True;64;numpy;False;False;0.02725709998048842;;;;;;;;
15;4;1;0;0;True;64;numpy;False;False;0.027169799897819757;;;;;;;;
15;5;1;0;0;True;64;numpy;False;False;0.026805900037288666;;;;;;;;
15;6;1;0;0;True;64;numpy;False;False;0.026933100074529648;;;;;;;;
15;7;1;0;0;True;64;numpy;False;False;0.02737239981070161;;;;;;;;
15;8;1;0;0;True;64;numpy;False;False;0.02624820009805262;;;;;;;;
15;9;1;0;0;True;64;numpy;False;False;0.02747080009430647;;;;;;;;
15;10;1;0;0;True;64;numpy;False;False;0.026859299978241324;;;;;;;;
16;1;1;0;0;True;64;numpy;True;True;0.032057799864560366;100.75999999999999;515.4;340.337109375;340.33984375;;;;
16;2;1;0;0;True;64;numpy;True;True;0.032202200032770634;96.62;502.7;340.587890625;340.58984375;;;;
16;3;1;0;0;True;64;numpy;True;True;0.030824700137600303;103.11999999999998;521.3;340.571875;340.57421875;;;;
16;4;1;0;0;True;64;numpy;True;True;0.03288610000163317;94.97999999999999;483.7;340.794921875;340.796875;;;;
16;5;1;0;0;True;64;numpy;True;True;0.03168209991417825;96.12;516.5;340.617578125;340.62109375;;;;
16;6;1;0;0;True;64;numpy;True;True;0.031757500022649765;97.49;492.0;340.77109375;340.7734375;;;;
16;7;1;0;0;True;64;numpy;True;True;0.03233739989809692;101.87;511.8;340.650390625;340.65234375;;;;
16;8;1;0;0;True;64;numpy;True;True;0.03261340013705194;94.03999999999999;503.7;340.693359375;340.6953125;;;;
16;9;1;0;0;True;64;numpy;True;True;0.03178790002129972;99.05;509.1;340.348046875;340.3515625;;;;
16;10;1;0;0;True;64;numpy;True;True;0.03196210018359125;98.52000000000001;512.5;340.9859375;340.98828125;;;;
17;1;1;0;0;True;64;cupy;False;False;1.2010194999165833;;;;;;;;
17;2;1;0;0;True;64;cupy;False;False;1.1271625999361277;;;;;;;;
17;3;1;0;0;True;64;cupy;False;False;1.1356889999005944;;;;;;;;
17;4;1;0;0;True;64;cupy;False;False;1.144756400026381;;;;;;;;
17;5;1;0;0;True;64;cupy;False;False;1.1444738002028316;;;;;;;;
17;6;1;0;0;True;64;cupy;False;False;1.149896200047806;;;;;;;;
17;7;1;0;0;True;64;cupy;False;False;1.140433100052178;;;;;;;;
17;8;1;0;0;True;64;cupy;False;False;1.1330909000243992;;;;;;;;
17;9;1;0;0;True;64;cupy;False;False;1.1512381001375616;;;;;;;;
17;10;1;0;0;True;64;cupy;False;False;1.136671899817884;;;;;;;;
18;1;1;0;0;True;64;cupy;True;True;1.2515259000938386;97.81;109.6;394.129296875;394.13671875;8.8;11;301.0546875;301.0546875
18;2;1;0;0;True;64;cupy;True;True;1.1418790998868644;96.89;113.5;394.109765625;394.1171875;9.0;11;301.0546875;301.0546875
18;3;1;0;0;True;64;cupy;True;True;1.1784567998256534;100.44999999999999;110.8;394.241796875;394.25;9.7;11;301.0546875;301.0546875
18;4;1;0;0;True;64;cupy;True;True;1.1680896000470966;100.44999999999999;110.2;394.180078125;394.1875;8.8;11;301.0546875;301.0546875
18;5;1;0;0;True;64;cupy;True;True;1.1670685999561101;100.52;112.2;393.984765625;393.9921875;9.9;11;301.0546875;301.0546875
18;6;1;0;0;True;64;cupy;True;True;1.1601199000142515;99.52;111.3;394.132421875;394.140625;8.2;11;301.0546875;301.0546875
18;7;1;0;0;True;64;cupy;True;True;1.2031797000672668;98.43999999999998;111.5;393.906640625;393.9140625;9.5;11;301.0546875;301.0546875
18;8;1;0;0;True;64;cupy;True;True;1.1677256999537349;100.50999999999999;110.9;394.013671875;394.0234375;9.4;11;301.0546875;301.0546875
18;9;1;0;0;True;64;cupy;True;True;1.1710773000959307;99.05;111.4;394.013671875;394.0234375;10.0;11;301.0546875;301.0546875
18;10;1;0;0;True;64;cupy;True;True;1.2139975999016315;97.35;111.7;394.35625;394.36328125;10.7;11;301.0546875;301.0546875
19;1;10;0;0;False;32;numpy;False;False;0.02557830000296235;;;;;;;;
19;2;10;0;0;False;32;numpy;False;False;0.025091599905863404;;;;;;;;
19;3;10;0;0;False;32;numpy;False;False;0.026651800144463778;;;;;;;;
19;4;10;0;0;False;32;numpy;False;False;0.026001199847087264;;;;;;;;
19;5;10;0;0;False;32;numpy;False;False;0.024739500135183334;;;;;;;;
19;6;10;0;0;False;32;numpy;False;False;0.024268600158393383;;;;;;;;
19;7;10;0;0;False;32;numpy;False;False;0.024900099961087108;;;;;;;;
19;8;10;0;0;False;32;numpy;False;False;0.02493229997344315;;;;;;;;
19;9;10;0;0;False;32;numpy;False;False;0.025569699937477708;;;;;;;;
19;10;10;0;0;False;32;numpy;False;False;0.024591000052168965;;;;;;;;
20;1;10;0;0;False;32;numpy;True;True;0.030533600132912397;106.69000000000001;556.5;341.05703125;341.05859375;;;;
20;2;10;0;0;False;32;numpy;True;True;0.030629200162366033;106.87;545.6;341.08046875;341.08203125;;;;
